video_id,user_unique_id,openness,conscientiousness,extroversion,agreeableness,neuroticism,suspect
6.96468E+18,special1force,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0705E+18,laminaprod,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06386E+18,military_f0rces,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06725E+18,jaiveersingh639,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05977E+18,millenialzkece,Low,High/Medium,Medium,Low,Medium/Low,Low/Medium
7.06831E+18,hannanajj,High/Medium,Medium,High,Normal/High,Low,Medium/Low
7.06818E+18,imban_,High/Medium,Medium/High,Medium,Low,High,Medium/High
7.0665E+18,world247breakingnews,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06864E+18,superhanns,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06887E+18,justlydeserved,High/Medium,Low,High,Low,Medium/Low,Low/Medium
7.0789E+18,bikini.bottom.news,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0701E+18,dylanpage.ning,Medium/High,High/Medium,High,Normal/High,Low/Medium,Medium/Low
7.06978E+18,_theunknownuser_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06897E+18,dylanpage.ning,Medium/High,Medium,High,Low,Low,Medium/Low
7.08858E+18,militaire.forces,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06846E+18,lisaremillard,Medium/Low,Low/Medium,Low,Low,Medium/Low,Low/Medium
7.06768E+18,president.putin.fanpage,High/Medium,Low,Low,Low,High/Medium,Medium/High
7.06755E+18,albzoone,Medium/Low,Medium,High,Normal,Low,Medium/High
7.06314E+18,viceworldnews,Medium/Low,High,Medium,Low,Medium/Low,Medium/Low
7.09878E+18,ukwarriors,Medium/High,Medium/High,High,Low,Low,Medium/High
7.02578E+18,angel.moret,Low,Medium,Medium,Normal,Medium/High,High
7.04861E+18,jackboi09,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06829E+18,aboutmilitary_id,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05976E+18,francoiseballetblu,Medium/High,High/Medium,High,Low,High/Medium,Medium/High
7.06915E+18,laminaprod,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06831E+18,womenofpower,Low/Medium,Low/Medium,Low,Low,Medium/Low,Low
7.03284E+18,the_italian_seal_2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05725E+18,only_for_b0yz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.95829E+18,porky11111111111222,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.98964E+18,dominionofcanada,Medium/Low,Low/Medium,High,Low,High/Medium,High/Medium
7.06183E+18,mr.miltok,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.91519E+18,tieumienmien6666,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06867E+18,cbsmornings,Medium/High,High,Medium,Normal/Low,Medium/High,Medium/High
7.10734E+18,british_royalfamily,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06975E+18,fliker.maut,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06831E+18,luviner_hz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06856E+18,imban_,Medium/Low,Medium/High,Medium,Low,High,High/Medium
7.04741E+18,direydealova,Low,Low,Medium/Low,Low,Medium/High,Medium/High
7.06972E+18,miggy.miggy_,Low/Medium,Low,Low/Medium,Low,Medium/High,Low/Medium
6.96299E+18,everything_military,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0572E+18,military_thingz,Low/Medium,Low,Medium,Low,Medium/High,Medium/High
7.06523E+18,emmanuel_macron_forever,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05853E+18,adityaprinararya,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06432E+18,rafaelkizarov,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06978E+18,goodmorningbadnews,High/Medium,High,High,Normal,Medium/High,Medium/High
7.0599E+18,president.putin.fanpage,Low/Medium,Low,Low,Low/Normal,Medium/High,Low/Medium
7.06739E+18,world247breakingnews,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05793E+18,military_thingz,High,Low,Low,Low,Medium/Low,Low
6.98175E+18,countrybattleswar,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06936E+18,nikawanai,Low/Medium,Low,Low,Low,High/Medium,High/Medium
6.96478E+18,adollarplease,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.9975E+18,daily.combat,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06389E+18,memories_angela_merkel,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06603E+18,odiumo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06902E+18,sealifeofficial,Medium/Low,Low/Medium,Low,Low,Medium/High,Low/Medium
7.06971E+18,tornado1261,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06855E+18,ronaldgaudence27,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.96477E+18,special1force,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05596E+18,military_thingz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.04025E+18,arcbrix,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06896E+18,atoadja,Low/Medium,High/Medium,Medium,Normal/Low,High,Medium/High
7.06915E+18,migsye,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06897E+18,imban_,Low/Medium,Medium/Low,Medium,Normal/Low,High/Medium,High
7.07196E+18,vaaymir,Medium/Low,Medium,High,Low,Low,Low/Medium
7.07099E+18,.brecourt,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.04109E+18,kokosowy_kokosss,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
6.96888E+18,everything_military,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.09675E+18,ervesto77,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06937E+18,planefinder,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07717E+18,creativeknow,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06832E+18,ayurezekicristianronaldo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07666E+18,villaagada,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.0647E+18,teamkeremhishaam2,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06895E+18,adamprima_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.03841E+18,history.kindakool,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05863E+18,military_thingz,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06865E+18,kalebandri,Medium/Low,Medium/Low,Medium,Normal/Low,Medium/Low,Medium/High
7.03933E+18,kokosowy_kokosss,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06907E+18,laminaprod,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07004E+18,httyd_light,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06891E+18,dimitriushakov,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06897E+18,clntn11,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06983E+18,httyd_light,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06753E+18,bajndy,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06979E+18,twinswat,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06717E+18,nato__nato,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07882E+18,mentalnycoach,High/Medium,High,High,Low/Normal,Medium/Low,Low
7.06159E+18,polska.military1,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06908E+18,itsmeexodousofficial,Low,Medium,High,Normal,Low,Medium/High
7.10012E+18,mr.brrrrrrrrrrrrt,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05774E+18,rockaddicted_,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.05709E+18,bombardamentoo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07465E+18,albzoone,Low,Low,Medium/Low,Low,Medium,Low/Medium
7.06838E+18,expose_news,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.07055E+18,officialmjcmatthew,High,Medium,High,High,Low,Low/Medium
7.06419E+18,ari_schew,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.08874E+18,kokosowy_kokosss,High/Medium,Medium/Low,Medium/Low,Low,Medium/High,Medium/High
7.06361E+18,greg0985,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
7.06205E+18,quicktakenews,High,Low/Medium,Low/Medium,Low,High/Medium,Medium/High
